ChosenID,Basin,WellName,County,LeaseName,bundle,Parent_Child_Cluster_Labels,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,Comp_Dt,HoleDirection,SurfaceLatitude,SurfaceLongitude,BH_Lat,BH_Long,mid_lat,mid_long,First_Prod_Year,First_Prod_Month
4238938170,DB,CURLY BILL STATE 25-26 UNIT A 6H,REEVES,CURLY BILL STATE 25-26 UNIT A,282,2,08-053045-O,PHANTOM,01PDP,WCA,7645,10/1/2019,11/1/2019,H,31.37632468,-103.4711757,31.35547726,-103.4736677,31.36590097,-103.4724217,2019,10
4238938209,DB,BEAR CLAW STATE 29-28 UNIT 11H,REEVES,BEAR CLAW STATE 29-28 UNIT,204,2,08-053044-O,WOLFBONE,01PDP,WCA,10821,9/1/2019,9/8/2019,H,31.24181992,-103.423091,31.24065027,-103.4577558,31.24123509,-103.4404234,2019,9
4238938212,DB,CORIANDER 2524-C3 11H,REEVES,CORIANDER 2524-C3,283,2,08-049553-O,PHANTOM,01PDP,WCB,9803,8/1/2019,8/14/2019,H,31.34374472,-103.0740559,31.31691202,-103.075752,31.33032837,-103.0749039,2019,8
4238936044,DB,TOMMY HABANERO UNIT 160-161W 1H,REEVES,TOMMY HABANERO UNIT 160-161W,284,2,08-055758-O,HOEFS T-K,01PDP,WCA,7546,7/1/2021,7/23/2021,H,31.03838911,-103.615074,31.05861644,-103.6100227,31.04850277,-103.6125484,2021,7
4238936147,DB,BOCKSCAR 309 16H,REEVES,BOCKSCAR 309,285,1,08-049631-O,WOLFBONE,01PDP,WCA,5130,12/1/2017,12/23/2017,H,31.0803171,-103.4890552,31.06626482,-103.4896803,31.07329096,-103.4893677,2017,12
4238936209,DB,PECAN STATE UNIT 4101AH,REEVES,PECAN STATE UNIT,286,0,08-047292-O,PHANTOM,01PDP,WCA,6495,1/1/2018,1/16/2018,H,31.32173175,-103.0674729,31.33953321,-103.0678268,31.33063248,-103.0676498,2018,1
4238936250,DB,AFFIRMED 48 2H,REEVES,AFFIRMED 48,287,2,08-047299-O,WOLFBONE,01PDP,WCXY,4816,6/1/2018,6/4/2018,H,31.36534509,-103.5654689,31.35239765,-103.568485,31.35887137,-103.5669769,2018,6
4238936293,DB,WINKLER STATE 34 1H,REEVES,WINKLER STATE 34,288,2,08-290482-G,PHANTOM,01PDP,WCA,10247,9/1/2018,9/5/2018,H,31.3116298,-103.7030447,31.28359632,-103.7009852,31.29761306,-103.7020149,2018,9
4238936340,DB,REEVES TXL FEE T7-50-21 1H,REEVES,REEVES TXL FEE T7-50-21,289,2,08-044932-O,WOLFBONE,01PDP,WCA,4905,9/1/2018,9/20/2018,H,31.24770356,-103.3378228,31.24503615,-103.3224083,31.24636986,-103.3301156,2018,9
4238936425,DB,SURE SHOT 902H,REEVES,SURE SHOT,117,2,08-048371-O,WOLFBONE,01PDP,WCA,10622,11/1/2018,11/26/2018,H,31.38738768,-103.380321,31.41572091,-103.3724655,31.40155429,-103.3763933,2018,11
4238936461,DB,REV GF STATE T7-50-41 100H,REEVES,REV GF STATE T7-50-41,290,2,08-049609-O,WOLFBONE,01PDP,WCA,11112,5/1/2019,5/23/2019,H,31.19888918,-103.3516255,31.22927219,-103.3541097,31.21408069,-103.3528676,2019,5
4238936466,DB,CWI STATE LONG A U 31H,REEVES,CWI STATE LONG A,59,2,08-050983-O,PHANTOM,01PDP,WCA,10812,6/1/2018,6/24/2018,H,31.35584895,-103.449767,31.32728429,-103.4590101,31.34156662,-103.4543886,2018,6
4238936467,DB,CWI STATE LONG B U 40H,REEVES,CWI STATE LONG B,59,2,08-050984-O,PHANTOM,01PDP,WCA,10787,6/1/2018,6/24/2018,H,31.35583295,-103.449673,31.32681561,-103.4563222,31.34132428,-103.4529976,2018,6
4238938294,DB,POUTINE UNIT 57-330E 9H,REEVES,POUTINE UNIT 57-330E,291,2,08-053895-O,HOEFS T-K,01PDP,WCA,9603,8/1/2019,8/11/2019,H,31.01684442,-103.4696024,30.9911112,-103.4760698,31.00397781,-103.4728361,2019,8
4238938302,DB,CREE STATE UNIT 104AH,REEVES,CREE STATE UNIT,292,2,08-288079-G,ALPINE HIGH,01PDP,WOODFORD,7987,9/1/2019,8/27/2019,H,31.12231569,-103.7534096,31.14418994,-103.7523485,31.13325282,-103.752879,2019,9
4238938427,DB,BALMORHEA STATE 32-15 B 8H,REEVES,BALMORHEA STATE 32-15 B,293,0,08-054503-O,PHANTOM,01PDP,WCA,7390,1/1/2020,1/13/2020,H,31.36094972,-103.5250691,31.38092439,-103.5211223,31.37093706,-103.5230957,2020,1
4238938431,DB,NIMITZ UNIT 187-188W 1H,REEVES,NIMITZ UNIT 187-188W,294,2,08-053721-O,WOLFBONE,01PDP,WCA,7687,9/1/2019,9/28/2019,H,31.17967239,-103.5794252,31.2003067,-103.5744359,31.18998955,-103.5769306,2019,9
4238938444,DB,GRAVES STATE 82NH,REEVES,GRAVES STATE,88,2,08-040374-O,WOLFBONE,01PDP,3RD BS,10956,11/1/2019,11/30/2019,H,31.21368732,-103.4666173,31.24365839,-103.4688337,31.22867286,-103.4677255,2019,11
4238938546,DB,MOOSE 33-40-1N 21H,REEVES,MOOSE 33-40-1N,295,2,08-053229-O,WOLFBONE,01PDP,WCA,9560,11/1/2019,11/14/2019,H,31.08668196,-103.3377815,31.11288653,-103.3377787,31.09978425,-103.3377801,2019,11
4238938582,DB,CITY OF PECOS STATE 15-16 U A2 7H,REEVES,CITY OF PECOS STATE 15-16 U A2,83,0,08-053739-O,PHANTOM,01PDP,WCA,9067,1/1/2020,1/20/2020,H,31.37814935,-103.5213967,31.401471,-103.511329,31.38981018,-103.5163629,2020,1
4238938610,DB,IRON EAGLE UNIT B C 16H,REEVES,IRON EAGLE UNIT B,296,0,08-052247-O,PHANTOM,01PDP,WCB,10053,1/1/2020,1/24/2020,H,31.30520556,-103.63155,31.33272778,-103.62995,31.31896667,-103.63075,2020,1
4238938734,DB,WORMER 69 24H,REEVES,WORMER 69,297,0,08-053942-O,HOEFS T-K,01PDP,WCC,5803,2/1/2020,2/16/2020,H,31.10824503,-103.651711,31.09267404,-103.655513,31.10045953,-103.653612,2020,2
4238938772,DB,BIG CHIEF 3501H,REEVES,BIG CHIEF,298,2,08-044043-O,HOEFS T-K,01PDP,3RD BS,10005,8/1/2020,8/9/2020,H,31.03317249,-103.4141309,31.01719357,-103.4401408,31.02518303,-103.4271358,2020,8
4238938778,DB,REV GF STATE T7 50 449H,REEVES,REV GF STATE T7 50,299,0,08-050122-O,PHANTOM,01PDP,3RD BS,11070,3/1/2022,3/14/2022,H,31.20153634,-103.3428176,31.1712675,-103.3452949,31.18640192,-103.3440563,2022,3
4238938785,DB,DAYTONA UNIT 1B14 14H,REEVES,DAYTONA UNIT 1B14,300,0,08-053873-O,WOLFBONE,01PDP,WCA,8434,2/1/2020,2/15/2020,H,31.24326517,-103.2599815,31.26638387,-103.2598813,31.25482452,-103.2599314,2020,2
4238938820,DB,HORNET STATE 26-27 UNIT B 3H,REEVES,HORNET STATE 26-27 UNIT B,105,0,08-055011-O,WOLFBONE,01PDP,WCA,7737,2/1/2021,2/10/2021,H,31.33534558,-103.3513139,31.35537682,-103.3431589,31.3453612,-103.3472364,2021,2
