ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,HoleDirection,SurfaceLatitude,SurfaceLongitude,cluster
4238935714,DB,BRASS MONKEY STATE UNIT 804H,REEVES,BRASS MONKEY STATE UNIT,08-292739-G,PHANTOM,01PDP,WCA,10681.0,2018-01-01,H,31.389235811,-103.385198083,1933
4238935812,DB,BUSH 215 1H,REEVES,BUSH 215,08-049739-O,HOEFS T-K,01PDP,WCA,5566.0,2017-09-01,H,31.12309052,-103.561489647,1934
4238935837,DB,MATADOR 6-33 3H,REEVES,MATADOR 6-33,08-048735-O,WOLFBONE,01PDP,WCA,4831.0,2017-07-01,H,31.35618607,-103.443725026,1935
4238935845,DB,SURE SHOT 903H,REEVES,SURE SHOT,08-048371-O,WOLFBONE,01PDP,WCA,11930.0,2017-12-01,H,31.384997021,-103.383661945,1936
4238935871,DB,JAGUAR 3H,REEVES,JAGUAR,08-048554-O,PHANTOM,01PDP,WCA,4739.0,2017-09-01,H,31.211574951,-103.557641628,1937
4238935921,DB,CYPRESS STATE UNIT 16 10H,REEVES,CYPRESS STATE UNIT 16,08-049483-O,WOLFBONE,01PDP,WCB,7262.0,2017-12-01,H,31.165691299,-103.619900557,1938
4238935956,DB,MEEKER-CANADIAN UNIT 108-109W 1H,REEVES,MEEKER-CANADIAN UNIT 108-109W,08-049570-O,WOLFBONE,01PDP,WCC,10119.0,2018-01-01,H,31.1097641,-103.649009712,1939
4238935973,DB,CABRITO STATE 8H,REEVES,CABRITO STATE,,WOLFBONE,05PA,,4811.0,2200-01-01,H,31.385771803,-103.434671778,1940
4238937575,DB,MEATLOAF 58W 1H,REEVES,MEATLOAF 58W,08-052185-O,HOEFS T-K,01PDP,WCB,4679.0,2019-02-01,H,30.989782067,-103.47211614,1941
4238937582,DB,DARK LIGHTNING STATE UNIT 9601H,REEVES,DARK LIGHTNING STATE UNIT,08-052377-O,PHANTOM,01PDP,WCA,7475.0,2019-09-01,H,31.099527253,-103.51535012,1942
4238937664,DB,STATE PECK 258-257-3N 13H,REEVES,STATE PECK 258-257-3N,08-051953-O,WOLFBONE,01PDP,WCA,10290.0,2019-03-01,H,31.278916728,-103.510240437,1943
