ChosenID,Basin,WellName,County,LeaseName,LeaseNumber,Field,RES_CAT,Landing_Zone,PerfLateralLength,FirstProdDate,Comp_Dt,HoleDirection,SurfaceLatitude,SurfaceLongitude,BH_Lat,BH_Long,mid_lat,mid_long,cluster
4238939523,DB,ACE IN THE HOLE 3801H,REEVES,ACE IN THE HOLE,08-057310-O,HOEFS T-K,01PDP,WCA,11661,4/1/2022,4/18/2022,H,31.09321163,-103.3986049,31.0944016,-103.4359077,31.09380661,-103.4172563,1925
4238939522,DB,GIRAFFE UNIT 18C33 33H,REEVES,GIRAFFE UNIT 18C33,08-056822-O,SANDBAR,02PDNP,3RD BS,8767,12/1/2021,12/22/2021,H,31.22055305,-103.1730481,31.24448538,-103.1755953,31.23251922,-103.1743217,1926
4238939527,DB,ACE IN THE HOLE 3802H,REEVES,ACE IN THE HOLE,,HOEFS T-K,02PDNP,WCA,12957,6/1/2022,,H,31.09320973,-103.3987015,31.0908758,-103.4400884,31.09204276,-103.419395,1927
4238939528,DB,ACE IN THE HOLE 3903H,REEVES,ACE IN THE HOLE,08-057310-O,HOEFS T-K,01PDP,WCA,11001,4/1/2022,4/18/2022,H,31.08685669,-103.4088287,31.08743429,-103.444034,31.08714549,-103.4264313,1928
4238939529,DB,ACE IN THE HOLE 3904H,REEVES,ACE IN THE HOLE,08-057310-O,HOEFS T-K,01PDP,WCA,12388,4/1/2022,4/18/2022,H,31.08685579,-103.4089244,31.0837532,-103.448411,31.0853045,-103.4286677,1929
4238939533,DB,HOOVER 183-182 UNIT E 22H 22H,REEVES,HOOVER 183-182 UNIT E 22H,08-057115-O,WOLFBONE,01PDP,WCB,8106,2/1/2022,2/23/2022,H,31.12668119,-103.5809629,31.10558187,-103.5890966,31.11613153,-103.5850298,1930
4238939535,DB,HOOVER 183-182 UNIT E 24H 24H,REEVES,HOOVER 183-182 UNIT E 24H,08-057143-O,WOLFBONE,01PDP,WCB,8087,2/1/2022,2/23/2022,H,31.1266479,-103.580774,31.10458477,-103.5832742,31.11561633,-103.5820241,1931
4238939534,DB,HOOVER 183-182 UNIT E 23H 23H,REEVES,HOOVER 183-182 UNIT E 23H,08-057129-O,WOLFBONE,01PDP,WCB,8039,2/1/2022,2/23/2022,H,31.12666449,-103.5808685,31.10514021,-103.5863743,31.11590235,-103.5836214,1932
4238939539,DB,LADOGA 143-142 UNIT 323H,REEVES,LADOGA 143-142 UNIT,08-056972-O,HOEFS T-K,01PDP,WCB,10039,3/1/2022,3/7/2022,H,31.21789788,-103.5940795,31.19160073,-103.6035569,31.2047493,-103.5988182,1933
4238939542,DB,REV BX STATE T8-51-12 0073WA,REEVES,REV BX STATE T8-51-12,08-057888-O,WOLFBONE,01PDP,WCA,11645,6/1/2022,6/1/2022,H,31.16832433,-103.388876,31.20014812,-103.3859907,31.18423622,-103.3874334,1934
4238939543,DB,LADOGA 143-142 UNIT 324H,REEVES,LADOGA 143-142 UNIT,08-056972-O,HOEFS T-K,01PDP,WCB,10063,3/1/2022,3/27/2022,H,31.21787288,-103.5939385,31.19052482,-103.5981298,31.20419885,-103.5960341,1935
4238939544,DB,REV BX STATE T8-51-12 0074WC,REEVES,REV BX STATE T8-51-12,,WOLFBONE,EXPIRED PERM,WCC,11716,1/1/2200,,H,31.16832533,-103.388793,31.20020713,-103.3842967,31.18426623,-103.3865449,1934
4238939545,DB,REV BX STATE T8-51-12 0075WA,REEVES,REV BX STATE T8-51-12,08-057888-O,WOLFBONE,01PDP,WCA,11766,6/1/2022,6/1/2022,H,31.16832433,-103.388716,31.20015814,-103.3826686,31.18424123,-103.3856923,1934
4238939540,DB,REV BX STATE T8-51-12 0071WA,REEVES,REV BX STATE T8-51-12,08-057888-O,WOLFBONE,01PDP,WCA,11602,6/1/2022,6/1/2022,H,31.16832532,-103.389033,31.2001261,-103.3892738,31.18422571,-103.3891534,1934
4238939541,DB,REV BX STATE T8-51-12 0072WC,REEVES,REV BX STATE T8-51-12,08-057888-O,WOLFBONE,01PDP,WCC,11635,6/1/2022,6/1/2022,H,31.16832463,-103.3889525,31.20019711,-103.3876208,31.18426087,-103.3882866,1934
4238939553,DB,MARLIN 11S 32H,REEVES,MARLIN 11S,08-056075-O,SANDBAR,01PDP,3RD BS,10965,1/1/2022,1/16/2022,H,31.24547189,-103.1440691,31.21547183,-103.1461764,31.23047186,-103.1451228,1936
4238939554,DB,MARLIN 11S 33H,REEVES,MARLIN 11S,08-056075-O,SANDBAR,01PDP,3RD BS,10965,1/1/2022,1/16/2022,H,31.24547189,-103.1439691,31.21546467,-103.1419803,31.23046828,-103.1429747,1937
4238939563,DB,ARUBA STATE 15-14 UNIT 131H,REEVES,ARUBA STATE 15-14 UNIT,08-294796-G,PHANTOM,01PDP,3RD BS,9856,1/1/2022,1/18/2022,H,31.36150779,-103.313135,31.3357354,-103.3226204,31.34862159,-103.3178777,1938
4238939569,DB,CONGER 185-184 UNIT D2 5H,REEVES,CONGER 185-184 UNIT D2,08-058248-O,HOEFS T-K,01PDP,WCA,8446,5/1/2022,5/6/2022,H,31.15572188,-103.5770099,31.13273378,-103.5802045,31.14422783,-103.5786072,1939
4238939564,DB,ARUBA STATE 15-14 UNIT 223H,REEVES,ARUBA STATE 15-14 UNIT,08-296328-G,PHANTOM,01PDP,WCA,9874,1/1/2022,1/19/2022,H,31.36166879,-103.313096,31.33531642,-103.3203204,31.3484926,-103.3167082,1940
