ChosenID,heel_lat,heel_lon,toe_lat,toe_lon,cluster
4231745015,32.151444445,-101.84800384,32.124703534,-101.840164622,1752
4231745014,32.150848046,-101.851499195,32.123973961,-101.84351227,1752
4231745013,32.150657051,-101.852663639,32.123686861,-101.844839874,1752
4232946081,31.928689876,-102.098249725,31.948641931,-102.103988109,510
4232946084,31.927968799,-102.10112321,31.94799872,-102.106858568,510
4232946089,31.713431294,-102.01327664,31.7558013,-102.026746958,1753
4232946091,31.714113595,-102.012674629,31.755983951,-102.025001127,1753
4232946083,31.92793437,-102.101838285,31.947812249,-102.107664457,510
4232946086,31.928273867,-102.099272183,31.948346882,-102.105269439,510
4232946085,31.92812397,-102.100830373,31.948068685,-102.10654702,510
4232946082,31.929154136,-102.096866563,31.948897583,-102.102813487,510
4232946092,31.713560036,-102.010012431,31.756314349,-102.023344332,1754
4232946090,31.713247536,-102.013361836,31.755746616,-102.026926715,1753
4232946112,31.863795768,-101.827755983,31.889896802,-101.835693237,536
4232946111,31.863353622,-101.829499307,31.888546628,-101.83778091,536
4232946110,31.864336535,-101.827393858,31.888078829,-101.835032297,536
4231745043,32.507670014,-101.920875036,32.535096514,-101.927784254,1755
4232946114,31.861682474,-101.835265548,31.887945504,-101.844057413,393
4231745042,32.507694277,-101.916499146,32.535857731,-101.923479423,1756
4232946115,31.860459502,-101.840268185,31.886961263,-101.84870924,393
4232946118,31.861716545,-101.835635721,31.887907683,-101.843951814,393
4232946116,31.860916713,-101.837604591,31.887456746,-101.846394734,393
4232946117,31.863097199,-101.832331804,31.888576321,-101.840841205,536
4232946121,31.861184377,-101.841177788,31.885723791,-101.848380979,393
4232946120,31.860992142,-101.838290706,31.887516198,-101.846162228,393
4231745046,32.100430064,-101.869122933,32.06664081,-101.859080598,798
4231745045,32.098569633,-101.871826775,32.06601093,-101.862055014,1757
4232946125,31.770718963,-101.809914207,31.802861649,-101.820043519,1758
4232946141,31.971975325,-101.870717597,31.944658118,-101.862291128,1759
4232946143,31.971952829,-101.871860393,31.944386765,-101.863547158,1759
4232946130,31.771000397,-101.802156529,31.804395816,-101.812689916,1760
4232946135,31.77201748,-101.797800659,31.805441957,-101.807685944,1760
4232946145,31.971626273,-101.874179149,31.943823043,-101.865996522,1759
4232946127,31.770797267,-101.807369784,31.803383958,-101.817008787,1758
4232946137,31.972203951,-101.870794841,31.945547172,-101.862511594,1759
4232946140,31.971551374,-101.87572671,31.943597618,-101.866830046,1759
4232946132,31.771387059,-101.801035304,31.804672661,-101.811363886,1760
4232946124,31.769798141,-101.812011883,31.802323851,-101.822119106,1761
4232946136,31.971754715,-101.870594485,31.945425039,-101.862574855,1759
4232946128,31.770806764,-101.806185687,31.803614956,-101.815905339,1758
4232946146,31.971544012,-101.874277324,31.943848031,-101.865892219,1759
4232946138,31.971405999,-101.872770989,31.946842695,-101.865460566,1759
4232946142,31.97205262,-101.871872241,31.944386236,-101.863510816,1759
4232946131,31.77187608,-101.800369953,31.804917571,-101.81018608,1760
4232946139,31.97082864,-101.874329787,31.945661399,-101.866427517,1759
4232946129,31.7705159,-101.803251515,31.804149496,-101.813856304,1760
4232946134,31.77155524,-101.798980482,31.805183068,-101.808923256,1760
4232946147,31.970791518,-101.873879262,31.943891055,-101.86574399,1759
4232946144,31.971457473,-101.872968905,31.94412318,-101.864655164,1759
4246142397,31.392477079,-101.828581817,31.365714185,-101.820788365,1762
4246142394,31.39137903,-101.834064878,31.364494923,-101.826284966,1763
4246142398,31.392888975,-101.828689539,31.365699587,-101.82084075,1762
4246142395,31.392413892,-101.831406972,31.365089848,-101.823601076,1764
4246142393,31.391652538,-101.834113069,31.364487981,-101.826301626,1763
4246142396,31.391993759,-101.831368676,31.365050331,-101.823113702,1764
4232946151,31.939621283,-101.843018303,31.906041077,-101.833889634,514
4232946148,31.909913137,-101.871429189,31.884147431,-101.863794402,499
4232946154,31.970655341,-101.876585562,31.943321318,-101.867590951,1759
4232946155,31.970862618,-101.876486128,31.943319279,-101.868098716,1759
4246142400,31.532648259,-101.952656812,31.573049481,-101.965267782,1765
4232946153,31.971285043,-101.875666905,31.943536795,-101.867097928,1759
4232946152,31.97065568,-101.875224872,31.94353426,-101.867115271,1759
4232946149,31.910156834,-101.870129624,31.884720596,-101.86215126,499
4231745082,32.408392853,-101.944756919,32.387552505,-101.938976228,1766
4231745078,32.408535085,-101.944076045,32.387693998,-101.938268369,1766
4231745071,32.22380398,-101.736622206,32.257649289,-101.747013956,1767
4231745083,32.410785077,-101.939929337,32.388811842,-101.93383706,1766
4231745075,32.410257084,-101.943317849,32.387943251,-101.937082369,1766
4231745067,32.223995121,-101.737795117,32.2574535,-101.748081436,1767
4231745069,32.223005248,-101.740662443,32.256288775,-101.750956106,1767
4231745066,32.223907609,-101.739201085,32.257172523,-101.749402436,1767
4231745065,32.223484725,-101.741898433,32.256609802,-101.752080756,1767
4231745081,32.410844538,-101.939185332,32.388905613,-101.933014333,1766
4231745084,32.410600356,-101.939840898,32.388767963,-101.933775189,1766
4231745068,32.222598282,-101.742890931,32.256007757,-101.754834442,1767
4231745080,32.409444392,-101.945102486,32.387564117,-101.93896997,1766
4231745074,32.410477469,-101.942574578,32.388353869,-101.935038475,1766
4231745079,32.408263819,-101.941251071,32.388675564,-101.93576711,1766
4231745085,32.410659265,-101.940463847,32.388934858,-101.9343431,1766
4231745077,32.40930032,-101.9449277,32.38755056,-101.938972574,1766
4238341320,31.549908215,-101.667516244,31.523201567,-101.659079239,1768
4238341323,31.505370444,-101.743973779,31.530240267,-101.751842842,1769
4238341317,31.549084868,-101.669455325,31.523218104,-101.661246621,1770
4238341319,31.549899178,-101.667473316,31.523567288,-101.659121431,1768
4238341325,31.505884321,-101.74140886,31.532618048,-101.749648224,1769
4238341318,31.548444603,-101.671373036,31.522273926,-101.663180955,1771
4238341321,31.550130942,-101.665359941,31.524476149,-101.657368114,1768
4238341324,31.505364095,-101.74272117,31.532308305,-101.751020292,1769
4231745098,32.381868799,-101.872940693,32.408320692,-101.880064057,1246
4231745092,32.383046927,-101.868950593,32.409246166,-101.875821954,1246
4231745087,32.383663409,-101.868058242,32.409396588,-101.875084319,1246
4231745088,32.382352435,-101.868476067,32.409200783,-101.876059287,1246
4231745095,32.38289084,-101.871347159,32.407429914,-101.877905505,1246
4231745090,32.410443556,-101.939091357,32.389351234,-101.933141439,1766
4231745096,32.381975753,-101.871765026,32.408515177,-101.879083098,1246
4231745091,32.38234828,-101.867586461,32.40941712,-101.874945086,1246
4231745093,32.382343591,-101.870317746,32.408870617,-101.877320206,1246
4231745097,32.380965144,-101.871794521,32.408552583,-101.878911243,1246
4231745089,32.383598068,-101.86821033,32.408751406,-101.874852258,1246
4232946174,31.968215171,-101.866121691,31.987212524,-101.872647732,1591
4232946176,31.968457899,-101.863025806,31.987921286,-101.869417238,421
4232946172,31.969327999,-101.860553266,31.988600036,-101.86630933,421
4231745094,32.382540343,-101.87040282,32.408842663,-101.877446999,1246
4231745086,32.381921129,-101.868115792,32.409244568,-101.875791627,1246
4246142407,31.532750138,-101.95485136,31.572664686,-101.967273731,1772
4246142445,31.505237495,-102.17536177,31.479658795,-102.167296415,1773
4246142414,31.603416921,-102.099964316,31.630195956,-102.108757497,1774
4246142442,31.505623067,-102.174092283,31.479569437,-102.165872128,1773
4246142410,31.601587016,-102.103515433,31.650414616,-102.119469039,1775
4246142430,31.505476027,-102.174051328,31.479898533,-102.165953726,1773
4246142443,31.505689845,-102.173652377,31.479633231,-102.165526479,1773
4246142415,31.602366182,-102.099222968,31.616233061,-102.1037136,1776
4246142412,31.602780657,-102.102245554,31.629214455,-102.110696582,1774
4246142408,31.601587068,-102.105311202,31.628835011,-102.114320411,1777
4246142413,31.602871441,-102.101808464,31.628751252,-102.110158634,1774
4246142416,31.602825823,-102.099358883,31.650710077,-102.114894558,1778
4246142444,31.505009173,-102.17529065,31.479289519,-102.16733124,1773
4246142411,31.602076498,-102.10226679,31.629660599,-102.111027045,1774
4246142409,31.601189639,-102.104114281,31.629145857,-102.113144896,1777
4217338941,31.878332266,-101.610892091,31.854165222,-101.603485894,1779
4217338939,31.880975164,-101.613050292,31.853811131,-101.604899151,1779
4217338934,31.881533797,-101.617126476,31.852948508,-101.608060312,1779
4217338943,31.880679619,-101.6104994,31.857266614,-101.603259888,1780
4217338938,31.881930753,-101.615108005,31.853452648,-101.605848316,1779
4217338935,31.881198486,-101.617105126,31.852977717,-101.607992192,1779
4217338937,31.881704253,-101.615352206,31.853856803,-101.606339592,1779
4217338942,31.88118461,-101.611291407,31.86097389,-101.604692692,1781
4217338940,31.880745424,-101.612516972,31.853956443,-101.603904434,1779
4217338936,31.881489223,-101.61597091,31.854840329,-101.607523529,1779
4222742136,32.506110864,-101.44985669,32.532602028,-101.457227275,1782
4222742130,32.324163536,-101.447362055,32.298474877,-101.440765572,1101
4222742135,32.506171547,-101.450216962,32.533158973,-101.457574635,1782
4231745120,32.098974439,-101.871708783,32.065971882,-101.862097243,1757
4232946202,31.941101092,-102.080719519,31.966234377,-102.088347565,1783
4232946204,31.942999129,-102.074640441,31.968833538,-102.082987129,1784
4232946203,31.942814726,-102.074514424,31.966472881,-102.08183422,1784
4232946209,31.942424766,-102.077837337,31.968110341,-102.084927131,1783
4232946211,31.941253234,-102.07983117,31.967699497,-102.087469648,1783
4232946201,31.942416125,-102.078534365,31.968004114,-102.086184217,1783
4231745118,32.099845941,-101.868946158,32.066600117,-101.859218728,798
4232946210,31.941450106,-102.079822739,31.966146557,-102.087421822,1783
4238341355,31.50787635,-101.581861303,31.489545329,-101.576104258,1785
4238341353,31.506998435,-101.585876067,31.488579981,-101.580250307,1785
4238341359,31.508762407,-101.579150802,31.475977313,-101.569248401,1786
4238341360,31.509272132,-101.576852275,31.476597076,-101.56655595,1787
4238341352,31.50668824,-101.586187139,31.488506429,-101.580715028,1785
4238341357,31.508915884,-101.579608832,31.479905203,-101.570499593,1788
4231745119,32.100601124,-101.866214972,32.06718048,-101.856513105,1789
4238341351,31.506064904,-101.587494536,31.488162512,-101.581845876,1785
4232946205,31.941706964,-102.080868784,31.967078813,-102.089078264,1783
4238341354,31.507411274,-101.582914912,31.489189813,-101.577205548,1785
4238341356,31.506979342,-101.584678992,31.488909758,-101.578958352,1785
4232946206,31.942628163,-102.078544076,31.967979073,-102.086653066,1783
4232946207,31.942765138,-102.074847191,31.968519012,-102.083826596,1784
4238341358,31.508477227,-101.579213711,31.476051064,-101.569289891,1786
4222742146,32.477255468,-101.37030901,32.456777559,-101.37202427,1790
4222742150,32.480403546,-101.371503131,32.506161898,-101.378073759,1512
4231745132,32.321119676,-101.726939365,32.295107113,-101.718511281,1791
4231745129,32.320863697,-101.724348534,32.295374236,-101.71743087,1791
4231745122,32.50843565,-101.707644255,32.528941891,-101.713317469,1792
4238341361,31.509613226,-101.575394514,31.469916277,-101.562777221,1793
4238341362,31.509623642,-101.574158734,31.47017855,-101.56169795,1793
4231745133,32.320358461,-101.727847583,32.294869742,-101.719596574,1791
4231745128,32.32134653,-101.724255068,32.295493415,-101.71679606,1791
4231745134,32.32116053,-101.72608776,32.295265858,-101.717810361,1791
4231745137,32.320574953,-101.728591467,32.296103418,-101.721982192,1791
4231745123,32.51065248,-101.707969099,32.528962449,-101.713100552,1792
4222742147,32.476504094,-101.369033893,32.450832837,-101.371089486,1794
4231745136,32.320676953,-101.728915912,32.294426691,-101.722013236,1791
4231745135,32.320930321,-101.727638823,32.294720144,-101.720513158,1791
4238341363,31.509111043,-101.574741375,31.470064305,-101.562414853,1793
4231745126,32.411582885,-101.806656947,32.438584852,-101.813889496,1795
4231745121,32.509693812,-101.710544366,32.528457628,-101.715810639,1796
4238341364,31.510162099,-101.573461193,31.471410905,-101.561298498,1793
4231745130,32.32122171,-101.725196734,32.295182216,-101.718420526,1791
4231745127,32.321892252,-101.72320862,32.29563427,-101.71605703,1791
4217338948,31.887851761,-101.610308386,31.854943306,-101.599602812,1797
4231745150,32.319558864,-101.732404216,32.294107217,-101.725522714,1798
4231745151,32.319563754,-101.733660618,32.2932641,-101.726698195,1798
4231745152,32.319416885,-101.734984829,32.293000485,-101.727742131,1798
4231745147,32.507720175,-101.710113824,32.528478666,-101.715756328,1796
4231745149,32.319152993,-101.731220867,32.293718677,-101.7243381,1798
4231745156,32.319836128,-101.731659473,32.294207608,-101.724521835,1798
4231745159,32.319615489,-101.7338528,32.293243553,-101.726817149,1798
4238341373,31.431077594,-101.723178566,31.404745121,-101.715511968,1799
4232946251,31.839836909,-102.057128226,31.866987115,-102.065262122,3
4246142458,31.588044953,-101.794167639,31.556608356,-101.783206586,1800
4246142459,31.587705361,-101.795154608,31.555594143,-101.784209995,1800
4246142460,31.587553662,-101.796214898,31.555324492,-101.78540925,1800
4246142461,31.58704807,-101.797459049,31.555546387,-101.78658738,1800
4246142462,31.586949338,-101.798469077,31.554829157,-101.787609714,1800
4231745161,32.318995439,-101.737549448,32.292727904,-101.72907093,1798
4232946252,31.841221529,-102.058611642,31.866774398,-102.066231904,3
4246142457,31.588240841,-101.793449346,31.556134033,-101.781819038,1800
4231745160,32.318764869,-101.736243494,32.292717355,-101.729230108,1798
4232946253,31.839633701,-102.057097552,31.866972005,-102.065318244,3
4231745157,32.318396094,-101.737262156,32.292518802,-101.730262448,1798
4238341374,31.431783437,-101.721232694,31.38579124,-101.709498748,1801
4232946249,31.840476622,-102.05974203,31.866479558,-102.067586133,3
4232946250,31.840082899,-102.057061364,31.867062287,-102.065510346,3
4231745155,32.319202105,-101.73639623,32.29271638,-101.729184408,1798
4232946248,31.839066259,-102.05932958,31.866498804,-102.067487451,3
4232946247,31.839644303,-102.059591571,31.866476983,-102.068017589,3
4231745208,32.463240798,-101.708199895,32.504880315,-101.719743697,1802
4231745193,32.458840271,-101.780021844,32.433563382,-101.771905229,1289
4231745191,32.458277327,-101.78190098,32.433072122,-101.773885812,1289
4231745200,32.460245753,-101.77644066,32.434362748,-101.768249455,1289
4231745210,32.463457996,-101.707014052,32.505143185,-101.718343869,1802
4231745194,32.45858363,-101.77977234,32.433550427,-101.771773472,1289
4231745206,32.509746567,-101.704134837,32.529672987,-101.709519098,1803
4231745197,32.459069405,-101.778177487,32.434019028,-101.769959858,1289
4238341377,31.431819124,-101.718988679,31.406947002,-101.711658357,1804
4238341375,31.431790021,-101.721036318,31.406339528,-101.713901332,1805
4238341376,31.431119997,-101.719591887,31.385665821,-101.706573999,1806
4238341378,31.432560483,-101.717075215,31.392019539,-101.705244361,1807
4231745207,32.463074569,-101.708410234,32.504800085,-101.720134111,1802
4231745202,32.509906897,-101.704209806,32.529689793,-101.709478637,1803
4231745209,32.462927607,-101.708859305,32.504734139,-101.720473493,1802
4222742159,32.466812292,-101.373551588,32.505487888,-101.379998771,1808
4222742158,32.467639118,-101.374496935,32.504449926,-101.381140204,1808
4231745196,32.459354855,-101.778440476,32.433919141,-101.770476684,1289
4231745192,32.459112512,-101.781266899,32.43331177,-101.772950748,1289
4231745203,32.508635385,-101.704666359,32.528545758,-101.710465833,1803
4246142467,31.504890997,-102.176725267,31.47992418,-102.168568379,1773
4246142468,31.505264525,-102.176887242,31.478951714,-102.168672378,1773
4231745211,32.467513034,-101.707943238,32.505146101,-101.718335002,1809
4231745198,32.459608064,-101.778086695,32.433991076,-101.769920323,1289
4222742160,32.467457281,-101.372524455,32.504693135,-101.378544659,1808
4203332636,32.525853105,-101.249737656,32.482698429,-101.252983694,1810
4231745213,32.113346622,-101.930109228,32.138469898,-101.939023875,1811
4231745220,32.114330656,-101.927570779,32.13931992,-101.935049794,1811
4231745216,32.114333086,-101.924744787,32.13986482,-101.933627293,1811
4231745212,32.112953227,-101.930539391,32.13838839,-101.939352709,1811
4231745218,32.114307832,-101.926122069,32.139619108,-101.933698531,1811
4231745215,32.113313088,-101.928986953,32.138984655,-101.93652511,1811
4231745219,32.113480707,-101.927304037,32.139332678,-101.934988963,1811
4231745205,32.4902503,-102.164047543,32.522265311,-102.171966918,1812
4231745204,32.492145703,-102.163818494,32.5218991,-102.173130974,1812
4231745217,32.114061171,-101.925645673,32.139826628,-101.932753465,1811
4231745214,32.113140444,-101.928651905,32.138832541,-101.937647435,1811
4246142471,31.503370847,-102.179107638,31.478315252,-102.170908491,1773
4246142470,31.503289102,-102.177709172,31.478659301,-102.170008664,1773
4246142469,31.505100051,-102.17841477,31.480459026,-102.170114354,1773
4203332635,32.526504188,-101.248315666,32.482630952,-101.251668967,1810
4231745250,32.459133666,-101.779110416,32.43381463,-101.770813622,1289
4231745255,32.162666256,-101.841337839,32.181611958,-101.848039024,1813
4231745256,32.162822514,-101.841197665,32.182463825,-101.84727377,1813
4231745246,32.45939266,-101.778662358,32.433853418,-101.770741533,1289
4231745232,32.457951294,-101.783031213,32.432807098,-101.774966664,1289
4231745252,32.161610117,-101.846185835,32.181421378,-101.852074795,1813
4231745249,32.458834859,-101.781168904,32.433335578,-101.773101452,1289
4231745223,32.310480234,-101.847887976,32.283411325,-101.838049808,1814
4246142483,31.508902297,-102.180955391,31.537654029,-102.190335626,1417
4246142482,31.508311203,-102.180807181,31.537956436,-102.190530295,1417
4231745251,32.460195419,-101.777151847,32.434208739,-101.76884443,1289
4231745253,32.162066086,-101.844498456,32.181301934,-101.850315216,1813
4231745257,32.161858859,-101.84431985,32.181764658,-101.850499134,1813
4222742173,32.341660855,-101.352126059,32.37458684,-101.36190885,1815
4222742175,32.340412974,-101.349016955,32.375196923,-101.358743197,1815
4222742174,32.340384053,-101.350498173,32.374857762,-101.360371537,1815
4231745263,32.470089014,-102.005131712,32.441621003,-101.997832549,1816
4231745265,32.470211341,-102.005632217,32.443247078,-101.998424798,1816
4231745267,32.470894708,-102.003987338,32.441948523,-101.996119257,1816
4232946302,31.925794729,-102.262735201,31.953211237,-102.272202613,1817
4232946303,31.927218553,-102.260902385,31.954277076,-102.270027801,1818
4232946299,31.923126324,-102.268208681,31.951938588,-102.280058787,517
4232946300,31.92326934,-102.266455374,31.952139258,-102.279083767,517
4231745264,32.470249955,-102.005644567,32.442270025,-101.998055679,1816
4232946301,31.924736917,-102.263621482,31.952440375,-102.274415783,1817
4231745266,32.470834272,-102.005694133,32.44161687,-101.997895033,1816
4222742176,32.340688342,-101.347865798,32.37548325,-101.35835142,1815
4232946298,31.922635087,-102.267904044,31.951930957,-102.280037744,517
4217338965,31.882370461,-101.615758979,31.853301241,-101.606790947,1779
4246142512,31.356798888,-101.886568845,31.335521613,-101.879575958,1819
4246142511,31.355615033,-101.889434789,31.33556935,-101.882675468,1819
4222742182,32.429215492,-101.351190534,32.45469303,-101.349189822,1100
4222742179,32.428847738,-101.35526683,32.45496673,-101.354326186,1100
4222742181,32.428473655,-101.352546323,32.454725359,-101.350475332,1100
4246142513,31.35623172,-101.887952247,31.333853896,-101.880305093,1819
4222742180,32.42813182,-101.353900997,32.454793317,-101.351772954,1100
4222742183,32.428064142,-101.349971617,32.454593859,-101.347938971,1100
4231745317,32.205154942,-102.036913652,32.164574026,-102.024409211,1820
4231745319,32.203598056,-102.038380711,32.165240934,-102.024790931,1820
4231745312,32.205120224,-102.034525441,32.165392029,-102.020292365,1820
4231745314,32.204043828,-102.040700214,32.163672065,-102.028454373,1820
4231745318,32.203116863,-102.040448791,32.163817273,-102.02640781,1820
4231745310,32.204663896,-102.036402422,32.164863957,-102.022337505,1820
4231745315,32.203418395,-102.040664783,32.163828895,-102.02637264,1820
4231745316,32.204581724,-102.039126929,32.164132208,-102.026393413,1820
4231745313,32.205503157,-102.034464719,32.165393393,-102.020247167,1820
4231745353,32.13627457,-101.877167361,32.103034201,-101.865859974,1821
4231745349,32.134606618,-101.883032973,32.101311553,-101.873620731,1822
4232946355,31.942435607,-102.08118856,31.967439364,-102.088705759,1783
4231745352,32.136475163,-101.877225267,32.103036885,-101.86585284,1821
4231745351,32.135574048,-101.880129728,32.102242851,-101.868872235,1823
4231745359,32.100532484,-101.866250696,32.067193571,-101.856404308,1789
4231745350,32.134953728,-101.87999823,32.102013012,-101.870566653,1823
4231745348,32.134775496,-101.883127432,32.101511077,-101.871904348,1822
4231745372,32.395758972,-101.733063944,32.354840606,-101.720135253,1824
